date,Messages,Instagram,Phone,Snapchat,FB Messenger,Groupme,Yelp,Venmo,Mail,Notes,Slack,Docs,Drive,Top Hat,App Store,Settings,Weather,Reminders,Safari,Spotify,Photos,HUJI,Lyft,Google Maps,Uber
8-Jan,14,22,2,9,5,0,4,0,10,2,0,0,0,0,0,0,0,0,5,7,5,0,6,4,0
9-Jan,33,20,4,9,3,2,1,0,5,3,0,0,0,0,0,0,0,0,12,5,1,0,2,8,1
10-Jan,5,13,4,2,5,1,1,0,11,2,0,0,0,0,0,0,0,0,16,3,3,0,6,5,1
11-Jan,16,27,4,10,5,1,1,0,8,2,0,0,0,0,0,0,0,0,17,3,3,0,6,5,1
12-Jan,28,27,4,10,5,1,1,0,8,2,0,0,0,0,0,0,0,0,17,3,3,0,6,5,0
13-Jan,25,12,2,5,6,2,5,0,10,0,0,0,0,0,0,0,0,0,3,5,5,0,4,14,3
14-Jan,14,12,0,6,10,0,0,0,4,4,0,0,0,0,0,0,0,0,20,10,0,0,0,6,0
15-Jan,32,30,3,14,12,0,0,0,14,0,0,0,0,0,0,0,0,0,24,1,4,0,1,0,0
16-Jan,12,9,0,2,1,6,0,0,11,1,0,0,0,0,1,0,0,0,15,2,0,0,3,1,0
17-Jan,14,3,2,2,7,6,0,0,10,0,0,0,0,0,0,0,0,0,26,4,0,0,5,2,0
18-Jan,28,10,19,3,2,0,3,0,2,0,0,0,0,0,1,0,0,0,14,0,0,0,3,0,0
19-Jan,30,7,12,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0
20-Jan,16,10,3,6,0,0,1,0,6,0,0,0,0,0,0,0,0,0,11,10,0,0,6,0,0
21-Jan,7,6,0,5,0,4,9,0,5,0,0,0,0,0,1,0,0,0,15,5,0,0,10,0,0
22-Jan,50,18,13,3,1,3,0,0,10,0,0,0,0,0,0,0,0,4,22,0,0,0,8,3,0
23-Jan,20,11,0,1,0,0,1,0,4,1,0,0,0,0,3,1,0,0,3,12,0,1,0,2,0
24-Jan,29,7,36,2,3,1,0,0,12,11,0,0,0,0,0,0,0,0,3,2,1,0,6,2,2
25-Jan,22,35,12,5,0,0,0,0,4,0,1,0,0,0,0,0,0,1,10,2,1,0,13,0,0
26-Jan,18,10,0,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,3,8,0,0,0,1,0
27-Jan,16,16,5,5,0,0,0,0,16,0,1,0,0,0,0,0,0,0,7,5,0,0,3,3,0
28-Jan,21,30,15,6,1,0,0,0,5,0,0,1,0,0,0,0,0,0,3,7,4,0,0,0,0
29-Jan,22,10,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,7,1,0,6,3,0
30-Jan,18,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
31-Jan,14,11,4,19,3,8,7,0,23,13,0,0,0,0,0,0,0,0,8,1,3,0,2,0,1
1-Feb,20,12,3,7,0,0,1,0,12,0,1,0,0,0,0,0,0,0,9,6,0,0,7,4,0
2-Feb,41,0,15,8,0,1,5,0,15,0,0,0,0,0,0,0,0,0,18,1,0,0,6,0,8
3-Feb,35,19,0,5,22,0,1,0,4,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
4-Feb,20,41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0
5-Feb,29,8,1,2,1,2,0,0,10,0,0,1,0,0,0,0,1,0,5,0,1,0,2,0,0
6-Feb,19,19,8,6,0,0,7,0,10,0,0,0,0,0,1,0,1,0,19,1,0,0,0,0,0
7-Feb,17,17,4,9,5,0,0,0,14,0,0,0,0,0,0,0,0,1,3,4,1,0,11,2,2
8-Feb,12,15,8,5,0,0,0,0,20,0,0,1,0,0,1,0,0,0,8,8,0,0,12,6,0
9-Feb,13,33,19,8,12,0,1,0,43,0,0,0,0,0,0,0,0,0,32,2,1,0,7,14,10
10-Feb,43,12,4,3,1,0,0,0,13,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,17
11-Feb,33,25,4,11,21,0,2,0,39,21,0,0,0,0,1,0,0,0,11,0,4,0,2,0,0
12-Feb,32,34,14,15,29,12,0,0,15,2,0,1,0,0,0,0,0,0,16,0,0,0,4,0,0
13-Feb,35,33,14,5,3,3,1,0,4,4,0,0,0,0,0,0,0,0,9,1,4,0,15,5,0
14-Feb,29,33,12,3,4,4,0,0,4,1,0,0,0,0,0,1,0,0,7,1,4,0,15,5,0
15-Feb,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Feb,30,34,0,4,5,4,4,0,15,1,0,0,0,0,0,7,0,0,4,2,9,1,4,4,5
17-Feb,18,33,0,6,9,4,0,0,7,1,0,0,0,0,0,3,0,0,10,3,2,1,1,0,5
18-Feb,12,1,1,1,1,0,1,0,1,1,1,0,0,0,0,5,1,0,5,0,0,1,0,0,0
19-Feb,84,10,26,1,1,2,1,0,21,6,0,0,1,3,0,0,4,0,11,0,1,1,4,0,0
20-Feb,30,12,6,2,0,1,0,1,5,0,0,0,0,0,1,0,0,0,7,10,1,0,3,3,0
21-Feb,21,8,2,5,4,2,0,0,3,1,0,0,0,4,0,0,0,0,19,0,0,0,5,0,1
22-Feb,30,10,4,8,0,2,0,0,10,0,0,0,0,0,1,0,0,0,9,5,0,0,6,2,4
23-Feb,60,23,19,2,4,3,0,0,3,0,0,0,0,0,0,0,0,0,11,1,0,0,8,2,3
24-Feb,21,11,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
25-Feb,35,29,9,5,0,0,0,0,6,16,0,0,0,0,0,0,1,0,19,0,1,1,0,0,0
26-Feb,53,14,12,7,0,0,0,0,5,16,0,0,0,1,0,0,0,0,11,0,0,0,0,0,2
27-Feb,66,29,9,14,5,1,14,0,10,3,1,0,0,0,0,0,0,0,27,0,16,0,10,0,0
28-Feb,11,21,2,2,2,0,0,0,6,0,0,0,0,0,1,0,0,0,5,6,1,0,18,0,0
1-Mar,16,16,0,3,0,3,0,0,2,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0
2-Mar,35,15,3,7,1,7,0,0,4,2,0,0,0,0,0,0,0,0,10,0,0,1,6,0,0
3-Mar,35,13,0,7,1,1,1,0,6,0,0,0,0,0,8,3,0,1,36,1,0,1,4,3,7
4-Mar,15,6,5,3,0,5,0,0,8,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
5-Mar,21,6,8,2,0,5,0,0,12,0,0,0,0,0,0,1,0,0,27,0,0,0,2,0,0
6-Mar,37,10,16,6,2,4,0,2,3,5,0,0,0,0,0,0,0,0,14,0,0,0,6,2,0
7-Mar,24,15,15,3,3,2,1,2,4,7,9,0,0,0,0,0,0,0,16,0,0,0,4,0,0
8-Mar,32,30,8,6,3,1,0,2,14,0,0,0,0,0,1,0,0,0,27,0,1,0,11,1,0
9-Mar,12,20,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,2
10-Mar,18,18,2,7,1,2,0,0,4,0,0,0,0,0,0,0,0,0,10,9,0,0,4,5,0
11-Mar,15,15,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
12-Mar,16,21,0,11,0,0,0,4,10,18,2,0,0,0,0,0,0,0,7,3,0,0,19,36,0
